unix,price,signal,pnl
2016-07-30 05:20:00,657.9,0,
2016-07-30 05:21:00,657.9,0,
2016-07-30 05:22:00,657.9,0,
2016-07-30 05:23:00,657.66,0,
2016-07-30 05:24:00,657.6,0,
2016-07-30 05:25:00,657.58,0,
2016-07-30 05:26:00,657.6,0,
2016-07-30 05:27:00,657.58,0,
2016-07-30 05:28:00,657.58,0,
2016-07-30 05:29:00,657.66,0,
2016-07-30 05:30:00,657.66,0,
2016-07-30 05:31:00,657.66,0,
2016-07-30 05:32:00,657.65,0,
2016-07-30 05:33:00,657.62,0,
2016-07-30 05:34:00,657.61,0,
2016-07-30 05:35:00,657.61,0,
2016-07-30 05:36:00,657.59,0,
2016-07-30 05:37:00,657.66,0,
2016-07-30 05:38:00,657.58,0,
2016-07-30 05:39:00,657.66,0,
2016-07-30 05:40:00,657.65,0,
2016-07-30 05:41:00,657.65,0,
2016-07-30 05:42:00,657.65,0,
2016-07-30 05:43:00,657.85,0,
2016-07-30 05:44:00,657.59,0,
2016-07-30 05:45:00,657.59,0,
2016-07-30 05:46:00,657.85,0,
2016-07-30 05:47:00,657.85,0,
2016-07-30 05:48:00,657.72,0,
2016-07-30 05:49:00,657.72,0,
2016-07-30 05:50:00,657.73,0,
2016-07-30 05:51:00,657.86,0,
2016-07-30 05:52:00,657.86,0,
2016-07-30 05:53:00,657.86,0,
2016-07-30 05:54:00,657.77,0,
2016-07-30 05:55:00,657.77,0,
2016-07-30 05:56:00,657.77,0,
2016-07-30 05:57:00,657.77,0,
2016-07-30 05:58:00,657.87,0,
2016-07-30 05:59:00,657.77,0,
2016-07-30 06:00:00,657.34,0,
2016-07-30 06:01:00,657.49,0,
2016-07-30 06:02:00,657.49,0,
2016-07-30 06:03:00,657.49,0,
2016-07-30 06:04:00,657.39,0,
2016-07-30 06:05:00,657.43,0,
2016-07-30 06:06:00,657.43,0,
2016-07-30 06:07:00,657.43,0,
2016-07-30 06:08:00,657.24,0,
2016-07-30 06:09:00,657.03,0,
2016-07-30 06:10:00,657.62,0,
2016-07-30 06:11:00,657.62,0,
2016-07-30 06:12:00,657.62,0,
2016-07-30 06:13:00,657.3,0,
2016-07-30 06:14:00,657.3,0,
2016-07-30 06:15:00,657.3,0,
2016-07-30 06:16:00,657.3,0,
2016-07-30 06:17:00,657.1,0,
2016-07-30 06:18:00,657.1,0,
2016-07-30 06:19:00,657.1,0,
2016-07-30 06:20:00,657.1,0,
2016-07-30 06:21:00,657.1,0,
2016-07-30 06:22:00,657.3,0,
2016-07-30 06:23:00,657.02,0,
2016-07-30 06:24:00,657.02,0,
2016-07-30 06:25:00,656.51,0,
2016-07-30 06:26:00,656.51,0,
2016-07-30 06:27:00,656.51,0,
2016-07-30 06:28:00,656.51,0,
2016-07-30 06:29:00,656.51,0,
2016-07-30 06:30:00,656.5,0,
2016-07-30 06:31:00,655.87,0,
2016-07-30 06:32:00,655.8,0,
2016-07-30 06:33:00,655.48,0,
2016-07-30 06:34:00,655.09,0,
2016-07-30 06:35:00,655.07,0,
2016-07-30 06:36:00,655.07,0,
2016-07-30 06:37:00,655.39,0,
2016-07-30 06:38:00,655.39,0,
2016-07-30 06:39:00,655.39,0,
2016-07-30 06:40:00,655.17,0,
2016-07-30 06:41:00,655.17,0,
2016-07-30 06:42:00,655.39,0,
2016-07-30 06:43:00,655.46,0,
2016-07-30 06:44:00,655.46,0,
2016-07-30 06:45:00,655.41,0,
2016-07-30 06:46:00,655.41,0,
2016-07-30 06:47:00,655.45,0,
2016-07-30 06:48:00,655.45,0,
2016-07-30 06:49:00,655.45,0,
2016-07-30 06:50:00,655.21,0,
2016-07-30 06:51:00,655.21,0,
2016-07-30 06:52:00,655.21,0,
2016-07-30 06:53:00,655.44,0,
2016-07-30 06:54:00,655.44,0,
2016-07-30 06:55:00,655.44,0,
2016-07-30 06:56:00,655.01,0,
2016-07-30 06:57:00,655.15,0,
2016-07-30 06:58:00,655.15,0,
2016-07-30 06:59:00,655.15,0,
2016-07-30 07:00:00,655.15,0,
2016-07-30 07:01:00,655.15,0,
2016-07-30 07:02:00,655.15,0,
2016-07-30 07:03:00,655.15,0,
2016-07-30 07:04:00,655.86,0,
2016-07-30 07:05:00,655.42,0,
2016-07-30 07:06:00,655.85,0,
2016-07-30 07:07:00,655.85,0,
2016-07-30 07:08:00,655.85,0,
2016-07-30 07:09:00,655.85,0,0.0
2016-07-30 07:10:00,655.71,-1,0.000213463444385
2016-07-30 07:11:00,655.71,-2,-0.0
2016-07-30 07:12:00,655.67,-3,0.000183007732077
2016-07-30 07:13:00,655.67,-4,-0.0
2016-07-30 07:14:00,655.86,-5,-0.00144889959888
2016-07-30 07:15:00,655.86,-6,-0.0
2016-07-30 07:16:00,655.86,-7,-0.0
2016-07-30 07:17:00,655.86,-8,-0.0
2016-07-30 07:18:00,655.86,-9,-0.0
2016-07-30 07:19:00,655.86,-10,-0.0
2016-07-30 07:20:00,655.86,-11,-0.0
2016-07-30 07:21:00,655.86,-12,-0.0
2016-07-30 07:22:00,655.86,-13,-0.0
2016-07-30 07:23:00,655.86,-14,-0.0
2016-07-30 07:24:00,655.86,-15,-0.0
2016-07-30 07:25:00,655.86,-16,-0.0
2016-07-30 07:26:00,655.86,-17,-0.0
2016-07-30 07:27:00,655.86,-18,-0.0
2016-07-30 07:28:00,656.5,-19,-0.0185405421889
2016-07-30 07:29:00,656.5,-20,-0.0
2016-07-30 07:30:00,656.5,-20,-0.0
2016-07-30 07:31:00,656.5,-20,-0.0
2016-07-30 07:32:00,656.5,-20,-0.0
2016-07-30 07:33:00,655.68,-20,0.0249809596344
2016-07-30 07:34:00,656.5,-20,-0.0250122010737
2016-07-30 07:35:00,656.33,-21,0.00543792840822
2016-07-30 07:36:00,656.44,-21,-0.00351957094754
2016-07-30 07:37:00,656.34,-21,0.00319907379197
2016-07-30 07:38:00,656.34,-21,-0.0
2016-07-30 07:39:00,656.34,-21,-0.0
2016-07-30 07:40:00,655.65,-21,0.0220769723009
2016-07-30 07:41:00,655.5,-21,0.00480439258751
2016-07-30 07:42:00,656.44,-22,-0.0315484363082
2016-07-30 07:43:00,656.44,-23,-0.0
2016-07-30 07:44:00,656.44,-23,-0.0
2016-07-30 07:45:00,656.44,-23,-0.0
2016-07-30 07:46:00,656.44,-23,-0.0
2016-07-30 07:47:00,656.44,-23,-0.0
2016-07-30 07:48:00,656.44,-23,-0.0
2016-07-30 07:49:00,656.44,-23,-0.0
2016-07-30 07:50:00,656.44,-23,-0.0
2016-07-30 07:51:00,655.5,-23,0.0329352263726
2016-07-30 07:52:00,655.5,-23,-0.0
2016-07-30 07:53:00,655.43,-24,0.00256292906179
2016-07-30 07:54:00,655.43,-25,-0.0
2016-07-30 07:55:00,655.43,-26,-0.0
2016-07-30 07:56:00,655.46,-27,-0.00123582991319
2016-07-30 07:57:00,655.43,-28,0.00128154273335
2016-07-30 07:58:00,655.43,-29,-0.0
2016-07-30 07:59:00,655.43,-30,-0.0
2016-07-30 08:00:00,655.43,-31,-0.0
2016-07-30 08:01:00,655.43,-32,-0.0
2016-07-30 08:02:00,656.16,-33,-0.0367544970477
2016-07-30 08:03:00,656.16,-34,-0.0
2016-07-30 08:04:00,656.16,-35,-0.0
2016-07-30 08:05:00,656.03,-36,0.00713240673007
2016-07-30 08:06:00,656.03,-37,-0.0
2016-07-30 08:07:00,656.44,-38,-0.0237489139216
2016-07-30 08:08:00,656.5,-39,-0.00356468222533
2016-07-30 08:09:00,656.4,-39,0.00594059405941
2016-07-30 08:10:00,655.77,-39,0.0374314442413
2016-07-30 08:11:00,656.5,-39,-0.0434146118304
2016-07-30 08:12:00,655.41,-40,0.0664127951257
2016-07-30 08:13:00,655.41,-40,-0.0
2016-07-30 08:14:00,655.41,-41,-0.0
2016-07-30 08:15:00,655.41,-42,-0.0
